Mod:Item:MetaData, Localized Name
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:1, Stencil Table
tconstruct:tooltables:4, Pattern Chest
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:2, Part Builder
tconstruct:tooltables:5, Part Chest
tconstruct:tooltables:3, Tool Station
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:toolforge:0, Tool Forge
tconstruct:pickaxe, Pickaxe
tconstruct:shovel, Shovel
tconstruct:hatchet, Hatchet
tconstruct:mattock, Mattock
tconstruct:kama, Kama
tconstruct:hammer, Hammer
tconstruct:excavator, Excavator
tconstruct:lumberaxe, Lumberaxe
tconstruct:scythe, Scythe
tconstruct:broadsword, Broadsword
tconstruct:longsword, Longsword
tconstruct:rapier, Rapier
tconstruct:frypan, Frypan
tconstruct:battlesign, Battlesign
tconstruct:cleaver, Cleaver
tconstruct:shortbow, Shortbow
tconstruct:longbow, Longbow
tconstruct:crossbow, Crossbow
tconstruct:arrow, Arrow
tconstruct:bolt, Bolt
tconstruct:shuriken, Shuriken
tconstruct:seared:0, Seared Stone
tconstruct:seared:1, Seared Cobblestone
tconstruct:seared:2, Seared Paver
tconstruct:seared:3, Seared Bricks
tconstruct:seared:4, Cracked Seared Bricks
tconstruct:seared:5, Fancy Seared Bricks
tconstruct:seared:6, Square Seared Bricks
tconstruct:seared:7, Seared Road
tconstruct:seared:8, Seared Creeperface
tconstruct:seared:9, Triangle Seared Bricks
tconstruct:seared:10, Small Seared Bricks
tconstruct:seared:11, Seared Tiles
tconstruct:smeltery_controller:0, Smeltery Controller
tconstruct:seared_tank:0, Seared Tank
tconstruct:seared_tank:1, Seared Gauge
tconstruct:seared_tank:2, Seared Window
tconstruct:faucet:0, Seared Faucet
tconstruct:channel:0, Casting Channel
tconstruct:casting:0, Casting Table
tconstruct:casting:1, Casting Basin
tconstruct:smeltery_io:0, Seared Drain
tconstruct:seared_glass:0, Seared Glass
tconstruct:seared_furnace_controller:0, Seared Furnace Controller
tconstruct:tinker_tank_controller:0, Tinker Tank Controller
tconstruct:seared_slab:0, Seared Stone Slab
tconstruct:seared_slab:1, Seared Cobblestone Slab
tconstruct:seared_slab:2, Seared Paver Slab
tconstruct:seared_slab:3, Seared Bricks Slab
tconstruct:seared_slab:4, Cracked Seared Bricks Slab
tconstruct:seared_slab:5, Fancy Seared Bricks Slab
tconstruct:seared_slab:6, Square Seared Bricks Slab
tconstruct:seared_slab:7, Seared Road Slab
tconstruct:seared_slab2:0, Seared Creeperface Slab
tconstruct:seared_slab2:1, Triangle Seared Bricks Slab
tconstruct:seared_slab2:2, Small Seared Bricks Slab
tconstruct:seared_slab2:3, Seared Tile Slab
tconstruct:seared_stairs_stone:0, Seared Stone Stairs
tconstruct:seared_stairs_cobble:0, Seared Cobblestone Stairs
tconstruct:seared_stairs_paver:0, Seared Paver Stairs
tconstruct:seared_stairs_brick:0, Seared Bricks Stairs
tconstruct:seared_stairs_brick_cracked:0, Cracked Seared Bricks Stairs
tconstruct:seared_stairs_brick_fancy:0, Fancy Seared Bricks Stairs
tconstruct:seared_stairs_brick_square:0, Square Seared Bricks Stairs
tconstruct:seared_stairs_brick_triangle:0, Triangle Seared Bricks Stairs
tconstruct:seared_stairs_brick_small:0, Small Seared Bricks Stairs
tconstruct:seared_stairs_road:0, Seared Road Stairs
tconstruct:seared_stairs_tile:0, Seared Tile Stairs
tconstruct:seared_stairs_creeper:0, Seared Creeperface Stairs
tconstruct:cast:0, Blank Cast
tconstruct:cast:0, Tough Tool Rod Cast
tconstruct:cast:0, Sword Blade Cast
tconstruct:cast:0, Chisel Head Cast
tconstruct:cast:0, Tough Binding Cast
tconstruct:cast:0, Sign Plate Cast
tconstruct:cast:0, Shovel Head Cast
tconstruct:cast:0, Bowstring Cast
tconstruct:cast:0, Wide Guard Cast
tconstruct:cast:0, Hammer Head Cast
tconstruct:cast:0, Broad Axe Head Cast
tconstruct:cast:0, Large Sword Blade Cast
tconstruct:cast:0, Hand Guard Cast
tconstruct:cast:0, Pan Cast
tconstruct:cast:0, Scythe Head Cast
tconstruct:cast:0, Arrow Head Cast
tconstruct:cast:0, Tool Rod Cast
tconstruct:cast:0, Binding Cast
tconstruct:cast:0, Shard Cast
tconstruct:cast:0, Bowlimb Cast
tconstruct:cast:0, Pickaxe Head Cast
tconstruct:cast:0, Excavator Head Cast
tconstruct:cast:0, Kama Head Cast
tconstruct:cast:0, Sharpening Kit Cast
tconstruct:cast:0, Axe Head Cast
tconstruct:cast:0, Large Plate Cast
tconstruct:cast:0, Cross Guard Cast
tconstruct:cast:0, Knife Blade Cast
tconstruct:cast_custom:0, Ingot Cast
tconstruct:cast_custom:1, Nugget Cast
tconstruct:cast_custom:2, Gem Cast
tconstruct:cast_custom:3, Plate Cast
tconstruct:cast_custom:4, Gear Cast
tconstruct:clay_cast:0, item.tconstruct.clay_cast.blank
tconstruct:clay_cast:0, Tough Tool Rod Clay Cast
tconstruct:clay_cast:0, Sword Blade Clay Cast
tconstruct:clay_cast:0, Chisel Head Clay Cast
tconstruct:clay_cast:0, Tough Binding Clay Cast
tconstruct:clay_cast:0, Sign Plate Clay Cast
tconstruct:clay_cast:0, Shovel Head Clay Cast
tconstruct:clay_cast:0, Bowstring Clay Cast
tconstruct:clay_cast:0, Wide Guard Clay Cast
tconstruct:clay_cast:0, Hammer Head Clay Cast
tconstruct:clay_cast:0, Broad Axe Head Clay Cast
tconstruct:clay_cast:0, Large Sword Blade Clay Cast
tconstruct:clay_cast:0, Hand Guard Clay Cast
tconstruct:clay_cast:0, Pan Clay Cast
tconstruct:clay_cast:0, Scythe Head Clay Cast
tconstruct:clay_cast:0, Arrow Head Clay Cast
tconstruct:clay_cast:0, Tool Rod Clay Cast
tconstruct:clay_cast:0, Binding Clay Cast
tconstruct:clay_cast:0, Shard Clay Cast
tconstruct:clay_cast:0, Bowlimb Clay Cast
tconstruct:clay_cast:0, Pickaxe Head Clay Cast
tconstruct:clay_cast:0, Excavator Head Clay Cast
tconstruct:clay_cast:0, Kama Head Clay Cast
tconstruct:clay_cast:0, Sharpening Kit Clay Cast
tconstruct:clay_cast:0, Axe Head Clay Cast
tconstruct:clay_cast:0, Large Plate Clay Cast
tconstruct:clay_cast:0, Cross Guard Clay Cast
tconstruct:clay_cast:0, Knife Blade Clay Cast
tconstruct:stone_torch:0, Stone Torch
tconstruct:stone_ladder:0, Stone Ladder
tconstruct:punji:0, Punji Sticks
tconstruct:rack:0, Item Rack
tconstruct:rack:1, Drying Rack
tconstruct:wood_rail:0, Wooden Rail
tconstruct:wood_rail_trapdoor:0, Wooden Rail with a Trapdoor
tconstruct:wooden_hopper:0, Wooden Hopper
tconstruct:slime_channel:0, Slime Channel
tconstruct:slime_channel:1, Slime Channel
tconstruct:slime_channel:2, Slime Channel
tconstruct:slime_channel:3, Blood Channel
tconstruct:slime_channel:4, Slime Channel
tconstruct:dried_clay:0, Dried Clay
tconstruct:dried_clay:1, Dried Bricks
tconstruct:dried_clay_slab:0, Dried Clay Slab
tconstruct:dried_clay_slab:1, Dried Bricks Slab
tconstruct:dried_clay_stairs:0, Dried Clay Stairs
tconstruct:dried_brick_stairs:0, Dried Bricks Stairs
tconstruct:brownstone:0, Smooth Brownstone
tconstruct:brownstone:1, Rough Brownstone
tconstruct:brownstone:2, Brownstone Paver
tconstruct:brownstone:3, Brownstone Bricks
tconstruct:brownstone:4, Cracked Brownstone Bricks
tconstruct:brownstone:5, Fancy Brownstone Bricks
tconstruct:brownstone:6, Square Brownstone Bricks
tconstruct:brownstone:7, Brownstone Road
tconstruct:brownstone:8, Brownstone Creeperface
tconstruct:brownstone:9, Triangle Brownstone Bricks
tconstruct:brownstone:10, Small Brownstone Bricks
tconstruct:brownstone:11, Brownstone Tiles
tconstruct:brownstone_slab:0, Smooth Brownstone Slab
tconstruct:brownstone_slab:1, Rough Brownstone Slab
tconstruct:brownstone_slab:2, Brownstone Paver Slab
tconstruct:brownstone_slab:3, Brownstone Bricks Slab
tconstruct:brownstone_slab:4, Cracked Brownstone Bricks Slab
tconstruct:brownstone_slab:5, Fancy Brownstone Bricks Slab
tconstruct:brownstone_slab:6, Square Brownstone Bricks Slab
tconstruct:brownstone_slab:7, Brownstone Road Slab
tconstruct:brownstone_slab2:0, Brownstone Creeperface Slab
tconstruct:brownstone_slab2:1, Triangle Brownstone Bricks Slab
tconstruct:brownstone_slab2:2, Small Brownstone Bricks Slab
tconstruct:brownstone_slab2:3, Brownstone Tile Slab
tconstruct:brownstone_stairs_smooth:0, Smooth Brownstone Stairs
tconstruct:brownstone_stairs_rough:0, Rough Brownstone Stairs
tconstruct:brownstone_stairs_paver:0, Brownstone Paver Stairs
tconstruct:brownstone_stairs_brick:0, Brownstone Bricks Stairs
tconstruct:brownstone_stairs_brick_cracked:0, Cracked Brownstone Bricks Stairs
tconstruct:brownstone_stairs_brick_fancy:0, Fancy Brownstone Bricks Stairs
tconstruct:brownstone_stairs_brick_square:0, Square Brownstone Bricks Stairs
tconstruct:brownstone_stairs_brick_triangle:0, Triangle Brownstone Bricks Stairs
tconstruct:brownstone_stairs_brick_small:0, Small Brownstone Bricks Stairs
tconstruct:brownstone_stairs_road:0, Brownstone Road Stairs
tconstruct:brownstone_stairs_tile:0, Brownstone Tile Stairs
tconstruct:brownstone_stairs_creeper:0, Brownstone Creeperface Stairs
tconstruct:slimesling:0, Slimesling
tconstruct:slimesling:1, Slimesling
tconstruct:slimesling:2, Slimesling
tconstruct:slimesling:3, Congealed Bloodsling
tconstruct:slimesling:4, Slimesling
tconstruct:slime_boots:0, Slime Boots
tconstruct:slime_boots:1, Slime Boots
tconstruct:slime_boots:2, Slime Boots
tconstruct:slime_boots:3, Congealed Blood Boots
tconstruct:slime_boots:4, Slime Boots
tconstruct:piggybackpack, Piggybackpack
tconstruct:throwball:0, Glowball
tconstruct:throwball:1, EFLN
tconstruct:stone_stick, Stone Rod
tconstruct:fancy_frame:0, Fancy Item Frame
tconstruct:fancy_frame:1, Aluminium Brass Item Frame
tconstruct:fancy_frame:2, Cobalt Item Frame
tconstruct:fancy_frame:3, Ardite Item Frame
tconstruct:fancy_frame:4, Manyullyn Item Frame
tconstruct:fancy_frame:5, Golden Item Frame
tconstruct:fancy_frame:6, Clear Item Frame
tconstruct:moms_spaghetti, Mom's Spaghetti
ae2wtlib:infinity_booster_card, Infinity Booster Card
ae2wtlib:wut, Wireless Ultimate Terminal
ae2wtlib:wut_creative, Creative Wireless Ultimate Terminal
quark:spruce_trapdoor, tile.spruce_trapdoor.name
quark:birch_trapdoor, tile.birch_trapdoor.name
quark:jungle_trapdoor, tile.jungle_trapdoor.name
quark:acacia_trapdoor, tile.acacia_trapdoor.name
quark:dark_oak_trapdoor, tile.dark_oak_trapdoor.name
quark:custom_chest:0, Spruce Chest
quark:custom_chest:1, Birch Chest
quark:custom_chest:2, Jungle Chest
quark:custom_chest:3, Acacia Chest
quark:custom_chest:4, Dark Oak Chest
quark:custom_chest_trap:0, Spruce Trapped Chest
quark:custom_chest_trap:1, Birch Trapped Chest
quark:custom_chest_trap:2, Jungle Trapped Chest
quark:custom_chest_trap:3, Acacia Trapped Chest
quark:custom_chest_trap:4, Dark Oak Trapped Chest
quark:sandy_bricks, tile.sandy_bricks.name
quark:snow_bricks, tile.snow_bricks.name
akashictome:tome, item.tome.name
betterquesting:placeholder, Item Placeholder
betterquesting:extra_life:0, Extra Life
betterquesting:extra_life:1, Half Heart
betterquesting:extra_life:2, Quarter Heart
betterquesting:guide_book, Better Questing Starter Guide
betterquesting:submit_station, Object Submission Station (OSS)
bibliocraft:bookcase:0, Oak Bookcase
bibliocraft:bookcase:1, Spruce Bookcase
bibliocraft:bookcase:2, Birch Bookcase
bibliocraft:bookcase:3, Jungle Bookcase
bibliocraft:bookcase:4, Acacia Bookcase
bibliocraft:bookcase:5, Dark Oak Bookcase
bibliocraft:bookcase:6, Framed Bookcase
bibliocraft:bookcasecreative:0, Oak Creative Bookcase
bibliocraft:bookcasecreative:1, Spruce Creative Bookcase
bibliocraft:bookcasecreative:2, Birch Creative Bookcase
bibliocraft:bookcasecreative:3, Jungle Creative Bookcase
bibliocraft:bookcasecreative:4, Acacia Creative Bookcase
bibliocraft:bookcasecreative:5, Dark Oak Creative Bookcase
bibliocraft:bookcasecreative:6, Framed Creative Bookcase
bibliocraft:shelf:0, Oak Shelf
bibliocraft:shelf:1, Spruce Shelf
bibliocraft:shelf:2, Birch Shelf
bibliocraft:shelf:3, Jungle Shelf
bibliocraft:shelf:4, Acacia Shelf
bibliocraft:shelf:5, Dark Oak Shelf
bibliocraft:shelf:6, Framed Shelf
bibliocraft:markerpole, tile.BiblioCraft:MarkerPole.name
bibliocraft:clipboard, tile.BiblioCraft:Clipboard.name
bibliocraft:lanterngold:0, Fancy Lantern
bibliocraft:lanterngold:1, Fancy Lantern
bibliocraft:lanterngold:2, Fancy Lantern
bibliocraft:lanterngold:3, Fancy Lantern
bibliocraft:lanterngold:4, Fancy Lantern
bibliocraft:lanterngold:5, Fancy Lantern
bibliocraft:lanterngold:6, Fancy Lantern
bibliocraft:lanterngold:7, Fancy Lantern
bibliocraft:lanterngold:8, Fancy Lantern
bibliocraft:lanterngold:9, Fancy Lantern
bibliocraft:lanterngold:10, Fancy Lantern
bibliocraft:lanterngold:11, Fancy Lantern
bibliocraft:lanterngold:12, Fancy Lantern
bibliocraft:lanterngold:13, Fancy Lantern
bibliocraft:lanterngold:14, Fancy Lantern
bibliocraft:lanterngold:15, Fancy Lantern
bibliocraft:lanterniron:0, Fancy Lantern
bibliocraft:lanterniron:1, Fancy Lantern
bibliocraft:lanterniron:2, Fancy Lantern
bibliocraft:lanterniron:3, Fancy Lantern
bibliocraft:lanterniron:4, Fancy Lantern
bibliocraft:lanterniron:5, Fancy Lantern
bibliocraft:lanterniron:6, Fancy Lantern
bibliocraft:lanterniron:7, Fancy Lantern
bibliocraft:lanterniron:8, Fancy Lantern
bibliocraft:lanterniron:9, Fancy Lantern
bibliocraft:lanterniron:10, Fancy Lantern
bibliocraft:lanterniron:11, Fancy Lantern
bibliocraft:lanterniron:12, Fancy Lantern
bibliocraft:lanterniron:13, Fancy Lantern
bibliocraft:lanterniron:14, Fancy Lantern
bibliocraft:lanterniron:15, Fancy Lantern
bibliocraft:lampgold:0, Fancy Lamp
bibliocraft:lampgold:1, Fancy Lamp
bibliocraft:lampgold:2, Fancy Lamp
bibliocraft:lampgold:3, Fancy Lamp
bibliocraft:lampgold:4, Fancy Lamp
bibliocraft:lampgold:5, Fancy Lamp
bibliocraft:lampgold:6, Fancy Lamp
bibliocraft:lampgold:7, Fancy Lamp
bibliocraft:lampgold:8, Fancy Lamp
bibliocraft:lampgold:9, Fancy Lamp
bibliocraft:lampgold:10, Fancy Lamp
bibliocraft:lampgold:11, Fancy Lamp
bibliocraft:lampgold:12, Fancy Lamp
bibliocraft:lampgold:13, Fancy Lamp
bibliocraft:lampgold:14, Fancy Lamp
bibliocraft:lampgold:15, Fancy Lamp
bibliocraft:lampiron:0, Fancy Lamp
bibliocraft:lampiron:1, Fancy Lamp
bibliocraft:lampiron:2, Fancy Lamp
bibliocraft:lampiron:3, Fancy Lamp
bibliocraft:lampiron:4, Fancy Lamp
bibliocraft:lampiron:5, Fancy Lamp
bibliocraft:lampiron:6, Fancy Lamp
bibliocraft:lampiron:7, Fancy Lamp
bibliocraft:lampiron:8, Fancy Lamp
bibliocraft:lampiron:9, Fancy Lamp
bibliocraft:lampiron:10, Fancy Lamp
bibliocraft:lampiron:11, Fancy Lamp
bibliocraft:lampiron:12, Fancy Lamp
bibliocraft:lampiron:13, Fancy Lamp
bibliocraft:lampiron:14, Fancy Lamp
bibliocraft:lampiron:15, Fancy Lamp
bibliocraft:furniturepaneler:0, Oak Furniture Paneler
bibliocraft:furniturepaneler:1, Spruce Furniture Paneler
bibliocraft:furniturepaneler:2, Birch Furniture Paneler
bibliocraft:furniturepaneler:3, Jungle Furniture Paneler
bibliocraft:furniturepaneler:4, Acacia Furniture Paneler
bibliocraft:furniturepaneler:5, Dark Oak Furniture Paneler
bibliocraft:furniturepaneler:6, Framed Furniture Paneler
bibliocraft:framedchest:0, Oak Framed Chest
bibliocraft:framedchest:1, Spruce Framed Chest
bibliocraft:framedchest:2, Birch Framed Chest
bibliocraft:framedchest:3, Jungle Framed Chest
bibliocraft:framedchest:4, Acacia Framed Chest
bibliocraft:framedchest:5, Dark Oak Framed Chest
